,kepid,Time,Impact,Depth,Radius,Energy,Star_Stability,Temperature
234,3231341,4.24439049,0.5934999999999999,174.0,2.01,692.71,4.242,5902.0
236,7626506,28.5742692,0.198,825.0,2.3149999999999995,20.295,4.515000000000001,5551.0
237,10319385,0.689210173,0.21250000000000002,195.0,1.385,3780.625,4.4525,5619.0
238,10482160,7.34373964,0.227,574.0,1.9700000000000002,142.54000000000002,4.543,5757.0
240,8559644,224.7789355,0.6395,3490.0,7.734999999999999,3.09,4.293,5855.0
241,3240158,7.42608123,0.22000000000000003,443.0,2.5500000000000003,298.405,4.334,6039.5
242,3240158,15.9868932,0.30600000000000005,179.0,1.6700000000000002,107.37,4.334,6039.5
243,3218908,18.92537246,0.5405,641.0,12.59,390.755,3.3695000000000004,4906.5
244,10350571,31.5925809,0.21349999999999997,145.0,1.715,52.86500000000001,4.1579999999999995,5681.5
245,10350571,17.157236,0.22799999999999998,110.0,1.49,119.375,4.1579999999999995,5681.5
247,9414417,53.5057611,0.24050000000000002,196.0,2.54,50.48,4.0175,6250.0
248,3632418,2.785821236,0.5735,68.9,1.7,2440.03,4.029,6197.5
249,5809890,1.269091415,0.23849999999999996,341.0,1.43,765.105,4.565999999999999,5041.0
250,5809890,2.853133997,0.45449999999999996,277.0,1.3800000000000001,260.145,4.565999999999999,5041.0
251,6131236,6.79685353,0.5905,393.0,2.2199999999999998,293.28999999999996,4.411,6052.0
252,3218908,1.475323222,0.23750000000000002,155.0,5.32,11743.91,3.3695000000000004,4906.5
253,3218908,4.15246118,0.555,223.0,6.890000000000001,2955.075,3.3695000000000004,4906.5
254,2837111,8.7348852,0.2235,271.0,1.7650000000000001,197.07,4.412000000000001,5964.5
255,5956342,17.02902786,0.2265,569.0,2.525,79.155,4.353,5839.0
256,5956656,1.224866441,0.22899999999999998,196.0,1.545,2256.41,4.338500000000001,5553.0
257,2854914,25.93406406,0.2115,415.0,2.52,59.6,4.287,5952.0
258,3116412,12.99204853,0.21899999999999997,271.0,2.01,137.10500000000002,4.263999999999999,5759.5
259,8394721,52.09081627,0.089,2890.0,7.26,31.52,4.2435,6185.5
260,2854698,8.18739443,0.2235,518.0,1.9149999999999998,89.27000000000001,4.506,5251.0
261,8559644,3.341799486,0.517,178.0,1.685,843.91,4.293,5855.0
262,2849805,3.749105745,0.6114999999999999,183.0,1.7449999999999999,471.725,4.42,5745.5
263,3114811,11.08956602,0.226,148.0,3.1849999999999996,863.5049999999999,3.783,6359.5
264,2853446,7.37290344,0.6555,205.0,2.7249999999999996,258.06000000000006,4.36,5961.0
265,3942446,119.0624882,1.157,5370.0,10.865,5.145,4.3825,5697.0
266,3554031,8.70798309,0.2405,1420.0,2.0549999999999997,21.895,4.702500000000001,4366.5
267,3554031,4.17634276,0.22699999999999998,532.0,1.2650000000000001,58.265,4.702500000000001,4366.5
268,8394721,27.40229859,0.159,748.0,3.6849999999999996,74.23499999999999,4.2435,6185.5
269,7295235,3.179267286,0.22250000000000003,201.0,1.25,377.03999999999996,4.5120000000000005,5500.0
270,2302548,10.38122447,0.218,802.0,2.205,50.339999999999996,4.556,5095.0
271,2302548,24.5709023,0.6124999999999999,764.0,2.86,15.96,4.556,5095.0
272,9818381,3.024092505,0.4165,7770.0,12.06,1155.0349999999999,4.266,6044.5
273,6060203,1.022678654,0.23450000000000001,129.0,1.125,2157.555,4.392,5370.0
274,5880320,12.10968709,0.5955,285.0,2.865,239.24,4.138,6021.0
275,5880320,20.4972755,0.637,243.0,2.8449999999999998,118.645,4.138,6021.0
276,3859079,53.5292702,0.22499999999999998,1090.0,2.3149999999999995,3.63,4.606,4736.0
277,4061149,2.757584622,0.22249999999999998,563.0,1.0,33.974999999999994,4.8375,3675.5
278,3444588,0.928310036,0.229,376.0,1.1549999999999998,368.35,4.6705,4109.0
279,8394721,13.48457668,0.165,654.0,3.4450000000000003,191.15499999999997,4.2435,6185.5
280,3962243,31.8841473,0.6004999999999999,910.0,3.9,27.0,4.429,5775.0
281,10154388,12.06222962,0.218,300.0,1.6600000000000001,79.99,4.442499999999999,5541.5
282,1718189,21.85362905,0.43800000000000006,356.0,1.9049999999999998,43.459999999999994,4.4685,5822.5
283,6037187,41.8059544,0.2285,434.0,2.195,24.23,4.389,5889.0
284,5735762,4.77800306,0.1895,473.0,1.845,181.3,4.494999999999999,5192.0
285,6359320,5.32667299,0.223,611.0,2.5149999999999997,327.05,4.430000000000001,5820.5
286,3859628,8.17242644,0.6105,864.0,3.415,140.565,4.465,5705.0
287,1718189,13.0607936,0.604,237.0,1.575,86.32,4.4685,5822.5
288,1431122,4.2989201,0.6094999999999999,238.0,2.12,294.505,4.407,5308.0
289,8260218,5.714817603,0.1235,12300.0,10.03,236.26999999999998,4.4685,5695.0
290,8222813,8.70420525,0.28900000000000003,1070.0,2.8049999999999997,72.52,4.5009999999999994,5077.5
291,6359320,8.1280933,0.23149999999999998,224.0,1.545,186.44,4.430000000000001,5820.5
292,6359320,2.83668931,0.23,166.0,1.325,757.135,4.430000000000001,5820.5
293,6362874,0.974868896,0.2255,198.0,1.19,1731.29,4.520999999999999,5476.0
294,6272413,4.89721006,0.4025,274.0,1.48,166.99,4.4719999999999995,5101.0
295,3447722,16.08832318,0.578,598.0,3.42,146.7,4.2445,6157.0
296,3447722,10.30067919,0.228,272.0,2.1950000000000003,266.17,4.2445,6157.0
297,3447722,35.6757453,0.57,471.0,3.02,50.75,4.2445,6157.0
298,2165002,16.56806842,0.22150000000000003,1330.0,2.56,21.735,4.595000000000001,4987.0
299,2165002,47.3329299,0.244,932.0,2.2,5.36,4.595000000000001,4987.0
300,1871056,40.8065333,0.20850000000000002,314.0,3.52,81.745,4.008,6200.5
301,8222813,2.46697039,0.5609999999999999,309.0,1.5300000000000002,389.77,4.5009999999999994,5077.5
302,12105051,2.624234833,0.6145,2610.0,5.295,475.975,4.4785,5340.0
303,8240904,6.61836309,0.215,549.0,2.8949999999999996,307.85499999999996,4.229000000000001,5537.5
305,5735762,9.673958488,0.163,953.0,2.635,70.785,4.494999999999999,5192.0
306,3962243,14.12847677,0.5835000000000001,629.0,2.875,79.91499999999999,4.429,5775.0
307,3438507,8.39842977,0.36049999999999993,340.0,2.215,292.40999999999997,4.3665,6287.0
308,3869014,8.63847391,0.2105,396.0,5.48,910.975,3.7569999999999997,5688.5
310,1865042,3.4815917,0.227,135.0,1.165,439.1,4.390499999999999,5410.5
311,5780460,35.61760233,0.11850000000000001,4630.0,5.140000000000001,10.645,4.5335,5138.0
312,8229696,10.12805158,0.5245,477.0,2.0149999999999997,89.005,4.5125,5672.0
314,8346392,5.72812616,0.2265,643.0,1.3849999999999998,25.124999999999996,4.714,3968.0
315,8288947,3.75574267,0.22,417.0,1.655,248.74,4.5495,5319.0
316,9480189,6.581477136,0.2255,2320.0,4.9799999999999995,191.035,4.34,5196.0
317,9480189,2.382652873,0.43200000000000005,705.0,2.995,741.375,4.34,5196.0
318,9480189,24.66461416,0.547,2400.0,5.835,32.85,4.34,5196.0
319,9512687,11.51517167,0.2175,1360.0,3.005,48.800000000000004,4.551,5177.0
320,8644288,7.641567589,0.097,2270.0,4.895,157.85,4.3505,5376.0
321,1725016,7.40742502,0.21550000000000002,442.0,2.215,241.35500000000002,4.393000000000001,5911.5
322,10166274,3.353732008,0.207,1260.0,1.615,33.254999999999995,4.797,3785.5
323,10166274,6.877446033,0.5175000000000001,1630.0,2.01,12.754999999999999,4.797,3785.5
324,10166274,28.46464804,0.21500000000000002,1630.0,1.83,1.92,4.797,3785.5
325,5735762,42.89645024,0.202,555.0,2.0,9.735,4.494999999999999,5192.0
326,8313667,30.5872153,0.2185,465.0,2.395,38.575,4.359999999999999,5932.0
327,8351704,7.09712124,0.2095,370.0,0.73,7.835,4.872,3565.5
328,9513865,3.601465336,0.2165,778.0,2.275,229.05,4.502000000000001,5056.0
329,9605514,25.8474958,0.2375,537.0,2.65,62.785,4.37,6269.0
330,9605514,40.715561,0.2075,681.0,2.98,34.285,4.37,6269.0
331,8125580,17.31711739,0.5805,1470.0,2.035,10.025,4.7620000000000005,4702.5
332,8158127,9.42889884,0.1985,565.0,4.13,409.02,4.0455,5897.0
333,10141900,6.50327035,0.2275,418.0,1.65,97.71000000000001,4.5125,4999.0
334,8410727,11.47609015,0.489,182.0,2.07,234.70499999999998,4.2155000000000005,6065.0
335,8410727,25.2630467,0.597,126.0,1.7049999999999998,81.905,4.2155000000000005,6065.0
336,8278371,0.677374687,0.2335,76.7,0.93,5009.485000000001,4.385,5712.5
337,8280511,10.43547031,0.2155,210.0,1.24,82.38499999999999,4.491999999999999,5528.0
